Lv.	HP	Heal/5s	Atk	Def	Sp. Atk	Sp.Def	Atk. Speed	Mv. Speed	Lifesteal	Crit Chance	Tenacity	CD Reduction
1	3200	32	161	70	20	54	100%	3.7m/s	0%	0%	0%	0%
2	3264	33	165	74	21	57	100%	3.7m/s	0%	0%	3.33%	0%
3	3341	34	170	79	23	61	100%	3.7m/s	0%	0%	6.66%	0%
4	3434	35	176	85	25	65	100%	3.7m/s	0%	0%	9.99%	0%
5	3771	38	199	106	32	81	100%	3.85m/s	5%	15%	13.32%	0%
6	3905	39	208	114	35	87	100%	3.85m/s	5%	15%	16.65%	0%
7	4066	41	219	124	38	95	100%	4m/s	5%	15%	19.98%	0%
8	4259	43	232	136	42	104	100%	4m/s	5%	15%	19.98%	0%
9	4941	50	278	178	56	137	100%	4.15m/s	10%	30%	19.98%	0%
10	5219	53	297	195	62	150	100%	4.15m/s	10%	30%	19.98%	0%
11	5553	56	319	216	69	166	100%	4.3m/s	10%	30%	19.98%	0%
12	5953	60	346	241	77	185	100%	4.3m/s	10%	30%	19.98%	0%
13	6433	65	378	271	87	208	100%	4.3m/s	15%	30%	19.98%	0%
14	7009	71	417	307	99	236	100%	4.3m/s	15%	30%	19.98%	0%
15	7700	78	463	350	114	269	100%	4.3m/s	15%	30%	19.98%	0%
