Lv.	HP	Heal/5s	Atk	Def	Sp. Atk	Sp.Def	Atk. Speed	Mv. Speed	Lifesteal	Crit Chance	Tenacity	CD Reduction
1	3300	33	134	35	50	27	110%	3.7m/s	0%	0%	0%	0%
2	3343	33	136	37	63	29	110.14%	3.7m/s	0%	0%	3.33%	0%
3	3395	34	139	39	79	31	110.31%	3.7m/s	0%	0%	6.66%	0%
4	3457	35	142	42	98	33	110.52%	3.7m/s	0%	0%	9.99%	0%
5	3683	37	154	52	166	41	111.27%	3.85m/s	0%	0%	13.32%	5%
6	3773	38	159	56	193	44	111.57%	3.85m/s	0%	0%	16.65%	5%
7	3881	39	165	61	226	48	111.93%	4m/s	0%	0%	19.98%	5%
8	4011	40	172	67	265	53	112.36%	4m/s	0%	0%	19.98%	5%
9	4469	45	196	88	403	69	113.87%	4.15m/s	0%	0%	19.98%	15%
10	4655	47	206	97	459	76	114.49%	4.15m/s	0%	0%	19.98%	15%
11	4879	49	218	107	527	84	115.23%	4.3m/s	0%	0%	19.98%	15%
12	5148	52	232	119	608	94	116.12%	4.3m/s	0%	0%	19.98%	15%
13	5470	55	249	134	705	106	117.19%	4.3m/s	0%	0%	19.98%	25%
14	5857	59	269	152	822	120	118.47%	4.3m/s	0%	0%	19.98%	25%
15	6321	64	293	174	962	137	120.01%	4.3m/s	0%	0%	19.98%	25%
